Date,Adj Close
2018-06-14,344.0
2018-06-15,356.5
2018-06-18,360.0
2018-06-19,359.0
2018-06-20,364.0
2018-06-21,353.5
2018-06-22,350.5
2018-06-25,335.0
2018-06-26,349.5
2018-06-27,340.5
2018-06-28,333.5
2018-06-29,312.0
2018-07-02,317.5
2018-07-03,316.0
2018-07-05,320.5
2018-07-06,328.0
2018-07-09,329.5
2018-07-10,338.5
2018-07-11,335.0
2018-07-12,336.5
2018-07-13,334.0
2018-07-16,329.0
2018-07-17,334.0
2018-07-18,330.5
2018-07-19,335.5
2018-07-20,331.0
2018-07-23,337.5
2018-07-24,323.0
2018-07-25,325.0
2018-07-26,321.5
2018-07-27,304.0
2018-07-30,276.0
2018-07-31,261.0
2018-08-01,259.0
2018-08-02,262.0
2018-08-03,261.0
2018-08-06,262.5
2018-08-07,267.5
2018-08-08,261.5
2018-08-09,259.5
2018-08-10,262.0
2018-08-13,258.0
2018-08-14,274.5
2018-08-15,272.0
2018-08-16,277.5
2018-08-17,269.5
2018-08-20,273.5
2018-08-21,277.5
2018-08-22,281.0
2018-08-23,283.0
2018-08-24,303.0
2018-08-27,308.0
2018-08-28,312.0
2018-08-29,315.0
2018-08-30,322.5
2018-08-31,324.0
2018-09-04,319.5
2018-09-05,318.0
2018-09-06,312.0
2018-09-07,307.5
2018-09-10,312.5
2018-09-11,310.0
2018-09-12,316.5
2018-09-13,318.5
2018-09-14,314.0
2018-09-17,307.0
2018-09-18,306.0
2018-09-19,311.0
2018-09-20,337.5
2018-09-21,331.0
2018-09-24,335.0
2018-09-25,341.5
2018-09-26,335.5
2018-09-27,331.0
2018-09-28,328.0
2018-10-01,294.0
2018-10-02,295.0
2018-10-03,301.5
2018-10-04,292.5
2018-10-05,298.0
2018-10-08,294.0
2018-10-09,300.0
2018-10-10,270.5
2018-10-11,279.5
2018-10-12,271.0
2018-10-15,277.5
2018-10-16,298.5
2018-10-17,290.5
2018-10-18,278.0
2018-10-19,274.0
2018-10-22,268.5
2018-10-23,269.0
2018-10-24,259.5
2018-10-25,274.5
2018-10-26,254.5
2018-10-29,238.0
2018-10-30,247.0
2018-10-31,244.5
2018-11-01,248.5
2018-11-02,250.0
2018-11-05,242.5
2018-11-06,234.5
2018-11-07,233.5
2018-11-08,248.5
2018-11-09,246.5
2018-11-12,235.5
2018-11-13,238.0
2018-11-14,244.5
2018-11-15,255.0
2018-11-16,243.5
2018-11-19,236.5
2018-11-20,241.5
2018-11-21,245.0
2018-11-23,245.5
2018-11-26,243.0
2018-11-27,242.5
2018-11-28,254.0
2018-11-29,250.0
2018-11-30,251.5
2018-12-03,256.5
2018-12-04,242.5
2018-12-06,231.5
2018-12-07,226.5
2018-12-10,218.0
2018-12-11,211.5
2018-12-12,210.0
2018-12-13,203.0
2018-12-14,193.5
2018-12-17,180.0
2018-12-18,180.5
2018-12-19,191.5
2018-12-20,178.0
2018-12-21,184.0
2018-12-24,183.5
2018-12-26,191.5
2018-12-27,198.0
2018-12-28,196.0
2018-12-31,190.5
2019-01-02,194.0
2019-01-03,193.0
2019-01-04,208.5
2019-01-07,234.5
2019-01-08,225.0
2019-01-09,223.0
2019-01-10,251.0
2019-01-11,257.5
2019-01-14,252.0
2019-01-15,256.5
2019-01-16,259.0
2019-01-17,262.0
2019-01-18,255.5
2019-01-22,257.0
2019-01-23,255.0
2019-01-24,263.0
2019-01-25,262.0
2019-01-28,253.5
2019-01-29,250.5
2019-01-30,254.5
2019-01-31,262.5
2019-02-01,269.5
2019-02-04,288.0
2019-02-05,291.0
2019-02-06,279.5
2019-02-07,271.5
2019-02-08,261.5
2019-02-11,264.5
2019-02-12,280.5
2019-02-13,281.5
2019-02-14,286.5
2019-02-15,282.5
2019-02-19,299.5
2019-02-20,273.0
2019-02-21,254.5
2019-02-22,270.0
2019-02-25,272.0
2019-02-26,285.0
2019-02-27,291.5
2019-02-28,286.0
2019-03-01,297.0
2019-03-04,296.0
2019-03-05,289.5
2019-03-06,279.5
2019-03-07,284.0
2019-03-08,285.0
2019-03-11,276.5
2019-03-12,287.5
2019-03-13,285.0
2019-03-14,279.5
2019-03-15,273.0
2019-03-18,276.5
2019-03-19,277.0
2019-03-20,276.0
2019-03-21,272.0
2019-03-22,259.5
2019-03-25,250.5
2019-03-26,246.5
2019-03-27,243.5
2019-03-28,245.0
2019-03-29,243.5
2019-04-01,241.0
2019-04-02,245.0
2019-04-03,245.5
2019-04-04,247.5
2019-04-05,245.5
2019-04-08,240.5
2019-04-09,240.5
2019-04-10,234.0
2019-04-11,231.5
2019-04-12,227.5
2019-04-15,223.5
2019-04-16,218.0
2019-04-17,210.0
2019-04-18,211.5
2019-04-22,212.0
2019-04-23,209.0
2019-04-24,205.0
2019-04-25,205.5
2019-04-26,206.5
2019-04-29,214.0
2019-04-30,215.0
2019-05-01,212.0
2019-05-02,214.5
2019-05-03,218.0
2019-05-06,227.5
2019-05-07,190.0
2019-05-08,184.5
2019-05-09,177.5
2019-05-10,172.5
2019-05-13,165.0
2019-05-14,165.5
2019-05-15,162.5
2019-05-16,172.5
2019-05-17,166.5
2019-05-20,164.5
2019-05-21,163.0
2019-05-22,159.0
2019-05-23,154.0
2019-05-24,159.0
2019-05-28,151.5
2019-05-29,156.0
2019-05-30,150.0
2019-05-31,153.0
2019-06-03,155.5
2019-06-04,159.5
2019-06-05,159.5
2019-06-06,160.5
2019-06-07,157.5
2019-06-10,150.5
2019-06-11,119.0
2019-06-12,123.0
2019-06-13,129.0
2019-06-14,122.0
2019-06-17,133.0
2019-06-18,129.5
2019-06-19,135.5
2019-06-20,132.0
2019-06-21,132.5
2019-06-24,125.0
2019-06-25,123.0
2019-06-26,124.5
2019-06-27,125.5
2019-06-28,130.0
2019-07-01,128.0
2019-07-02,128.0
2019-07-03,134.5
2019-07-05,137.5
2019-07-08,128.0
2019-07-09,130.0
2019-07-10,128.0
2019-07-11,127.5
2019-07-12,125.0
2019-07-15,124.0
2019-07-16,122.5
2019-07-17,117.5
2019-07-18,113.5
2019-07-19,112.5
2019-07-22,111.0
2019-07-23,107.5
2019-07-24,110.0
2019-07-25,109.5
2019-07-26,111.0
2019-07-29,107.5
2019-07-30,109.0
2019-07-31,107.5
2019-08-01,106.0
2019-08-02,101.0
2019-08-05,96.0
2019-08-06,93.5
2019-08-07,113.0
2019-08-08,132.0
2019-08-09,155.0
2019-08-12,148.5
2019-08-13,149.5
2019-08-14,136.5
2019-08-15,148.5
2019-08-16,143.0
2019-08-19,141.0
2019-08-20,137.0
2019-08-21,139.0
2019-08-22,140.0
2019-08-23,136.5
2019-08-26,137.5
2019-08-27,132.5
2019-08-28,136.5
2019-08-29,138.0
2019-08-30,144.5
2019-09-03,144.0
2019-09-04,139.5
2019-09-05,138.5
2019-09-06,143.5
2019-09-09,154.5
2019-09-10,165.0
2019-09-11,165.0
2019-09-12,167.5
2019-09-13,171.0
2019-09-16,184.5
2019-09-17,191.0
2019-09-18,192.5
2019-09-19,185.5
2019-09-20,185.5
2019-09-23,191.5
2019-09-24,181.5
2019-09-25,208.0
2019-09-26,207.5
2019-09-27,189.0
2019-09-30,181.5
2019-10-01,173.0
2019-10-02,176.0
2019-10-03,181.0
2019-10-04,178.0
2019-10-07,184.5
